DISTRITO,TARIFA,CARTERA,consumo_promedio,consumo_std,importe_promedio,importe_std,consumo_minimo,consumo_maximo,total_registros
JULCAN,MT3,M,2005.7859744186053,972.7959796712037,1300.0604651162791,401.3630758277021,397.4498,3371.592,43
JULCAN,MT3,MAYOR,2055.0,0.0,1177.5,0.0,2055.0,2055.0,1
JULCAN,MT4,M,2161.3766229885055,2067.9475191351903,1653.4298850574708,1380.3924427760544,206.4268,5562.4614,87
JULCAN,MT4,MAYOR,1915.0,2150.4074032610656,1548.6666666666667,1572.4514152536904,313.0,4359.0,3
LA CUESTA,BT5B,C,27.426814599751136,47.86044079148329,25.295707175445898,46.45164948319161,0.3,633.0,4822
LA CUESTA,BT5B,COMÚN,24.62857142857143,49.830566782633454,26.447428571428556,53.027480207368484,1.0,524.0,175
LA ESPERANZA,BT2,M,2954.0207874999996,2614.6932604783838,3464.764583333334,2650.812814848313,5.112,8780.1,96
LA ESPERANZA,BT2,MAYOR,2576.0,3852.4085972284925,2725.733333333333,3514.2229672195435,94.0,7014.0,3
LA ESPERANZA,BT3,M,4332.5729411764705,3657.6736374318475,5652.584453781511,2775.3876447932853,0.002,12771.3,238
LA ESPERANZA,BT3,MAYOR,3947.3333333333335,3358.1144635047804,6504.711111111112,3209.794046136155,917.0,11371.0,9
LA ESPERANZA,BT4,M,3027.5579021739163,1513.3702327878611,2709.654347826087,1075.5260366467335,2.2779,7730.634,230
LA ESPERANZA,BT4,MAYOR,2559.75,1238.2971891155323,2253.7625,899.2997401748604,587.0,4051.0,8
LA ESPERANZA,BT5A,M,181.98297777777776,57.435663668332374,324.562962962963,58.05054924637896,114.4251,355.6232,27
LA ESPERANZA,BT5A,MAYOR,145.0,0.0,286.5,0.0,145.0,145.0,1
LA ESPERANZA,BT5B,C,120.14900964623845,243.19844477109834,122.04411163840466,284.3959823509132,0.1,16302.0,1098905
LA ESPERANZA,BT5B,COMÚN,109.12795883361922,216.93124346592242,118.70825042881505,219.63629038025715,1.0,8896.0,34980
LA ESPERANZA,BT5D,C,13515.95,1027.3438657144222,7764.6,1203.330289785722,12111.0,15747.0,20
LA ESPERANZA,BT5D,COMÚN,12441.0,0.0,7750.0,0.0,12441.0,12441.0,1
LA ESPERANZA,BT6,C,768.4681034482759,423.1383204284193,311.6669827586212,884.8748344513723,1.0,4800.0,4640
LA ESPERANZA,BT6,COMÚN,702.6862745098039,350.78401794349486,256.1849673202612,121.00761653455508,1.0,3000.0,153
LA ESPERANZA,MT2,M,10351.540749013158,16268.079609753026,6552.496776315796,8706.982432555249,84.9999,164331.6539,1520
LA ESPERANZA,MT2,MAYOR,10696.018518518518,17236.624201611376,6829.931481481478,9315.87431920667,7.0,118193.0,54
LA ESPERANZA,MT3,M,15592.188200000006,32887.66984837422,9905.117937219728,17466.757792065404,0.6364,380145.0745,1561
LA ESPERANZA,MT3,MAYOR,13184.85,21695.320864596506,8697.904999999997,12277.13461473318,8.0,148006.0,60
LA ESPERANZA,MT4,M,18951.961936470605,16002.3259283524,10808.208235294114,7605.977964354836,76.859,59912.8277,170
LA ESPERANZA,MT4,MAYOR,11694.857142857143,14109.038372955254,7722.742857142856,5659.963530170238,637.0,38199.0,7
LA LIBERTAD,BT5B,C,27.673798272771712,77.24798490087285,26.273211666938185,73.14967193303768,0.6,1600.0,6137
LA LIBERTAD,BT5B,COMÚN,28.07373271889401,62.07674537292446,29.58940092165899,63.71540912025648,1.0,528.0,217
LA LIBERTAD,MT4,M,433.65694999999994,157.81030903232278,480.40625,151.82161029592626,213.651,739.476,80
LA LIBERTAD,MT4,MAYOR,470.6666666666667,188.7599886981702,569.1666666666667,175.81724412961702,316.0,681.0,3
LA LIBERTAD DE PALLAN,BT5B,C,22.911545843450106,74.14062273932464,25.05856168343156,72.95662506358977,0.2,1199.0,8649
